order_id,customer_id,order_date,product,category,price,quantity
1,C1804,2026-02-08,Jeans,Fashion,60,5
2,C5099,2026-02-26,Phone,Electronics,600,5
3,C5201,2025-12-13,Desk,Furniture,350,5
4,C5346,2025-05-08,Shoes,Fashion,80,1
5,C5800,2025-11-19,Desk,Furniture,350,5
6,C3475,2025-02-20,Watch,Accessories,150,1
7,C1280,2024-11-11,Chair,Furniture,200,5
8,C3961,2025-02-02,Headphones,Electronics,120,1
9,C8750,2025-06-04,Laptop,Electronics,800,3
10,C5031,2024-04-09,Chair,Furniture,200,4
11,C1312,2025-03-24,Headphones,Electronics,120,2
12,C1785,2025-09-23,Phone,Electronics,600,2
13,C7496,2025-10-18,Shoes,Fashion,80,3
14,C5580,2025-04-10,Shoes,Fashion,80,3
15,C6464,2024-08-30,Backpack,Accessories,70,2
16,C5838,2024-08-21,Tshirt,Fashion,30,5
17,C5513,2025-01-02,Headphones,Electronics,120,5
18,C3768,2025-01-21,Phone,Electronics,600,3
19,C9942,2026-01-07,Phone,Electronics,600,1
20,C5408,2025-10-24,Desk,Furniture,350,2
21,C4887,2024-10-22,Watch,Accessories,150,2
22,C3947,2024-05-22,Desk,Furniture,350,5
23,C7552,2024-04-22,Tshirt,Fashion,30,5
24,C9504,2024-12-04,Tshirt,Fashion,30,5
25,C8725,2025-02-23,Desk,Furniture,350,5
26,C6993,2025-12-27,Chair,Furniture,200,2
27,C9183,2024-03-09,Watch,Accessories,150,1
28,C9759,2025-04-19,Watch,Accessories,150,3
29,C9752,2024-03-11,Laptop,Electronics,800,5
30,C3916,2024-03-18,Chair,Furniture,200,2
31,C4114,2026-02-01,Watch,Accessories,150,4
32,C2536,2024-05-26,Headphones,Electronics,120,5
33,C6499,2024-06-06,Desk,Furniture,350,4
34,C1979,2024-09-26,Headphones,Electronics,120,3
35,C4110,2024-07-10,Shoes,Fashion,80,3
36,C8057,2025-01-12,Jeans,Fashion,60,1
37,C4429,2024-04-24,Desk,Furniture,350,1
38,C1926,2024-11-08,Jeans,Fashion,60,3
39,C8296,2025-01-24,Laptop,Electronics,800,2
40,C2918,2024-06-08,Tshirt,Fashion,30,3
41,C6143,2025-01-03,Shoes,Fashion,80,1
42,C2218,2025-04-12,Jeans,Fashion,60,2
43,C7844,2026-01-04,Backpack,Accessories,70,5
44,C7581,2025-12-30,Phone,Electronics,600,1
45,C2148,2025-02-03,Watch,Accessories,150,4
46,C8659,2025-10-22,Shoes,Fashion,80,5
47,C3056,2024-10-19,Chair,Furniture,200,5
48,C4268,2025-01-22,Desk,Furniture,350,2
49,C4907,2025-02-19,Watch,Accessories,150,1
50,C4214,2025-03-07,Chair,Furniture,200,2
51,C2534,2026-02-17,Laptop,Electronics,800,2
52,C4704,2026-01-30,Watch,Accessories,150,1
53,C3661,2024-04-17,Jeans,Fashion,60,1
54,C6180,2024-09-11,Tshirt,Fashion,30,4
55,C6035,2026-02-10,Headphones,Electronics,120,5
56,C1610,2025-03-11,Tshirt,Fashion,30,5
57,C3591,2024-09-23,Jeans,Fashion,60,3
58,C3376,2024-12-18,Jeans,Fashion,60,5
59,C9385,2024-03-14,Headphones,Electronics,120,3
60,C4447,2025-03-17,Headphones,Electronics,120,5
61,C5706,2025-05-29,Headphones,Electronics,120,3
62,C2439,2024-03-17,Watch,Accessories,150,4
63,C9696,2024-12-09,Jeans,Fashion,60,4
64,C4774,2024-08-18,Shoes,Fashion,80,2
65,C3730,2024-06-26,Backpack,Accessories,70,3
66,C8986,2024-10-24,Phone,Electronics,600,2
67,C8577,2024-09-18,Chair,Furniture,200,1
68,C4298,2026-02-06,Headphones,Electronics,120,4
69,C4907,2026-02-01,Tshirt,Fashion,30,4
70,C6532,2024-12-02,Jeans,Fashion,60,1
71,C5569,2024-03-14,Tshirt,Fashion,30,5
72,C2851,2024-03-14,Laptop,Electronics,800,3
73,C1485,2025-07-11,Shoes,Fashion,80,4
74,C3153,2025-09-18,Headphones,Electronics,120,3
75,C9843,2025-04-15,Headphones,Electronics,120,4
76,C5560,2024-11-26,Jeans,Fashion,60,4
77,C9804,2024-12-30,Tshirt,Fashion,30,4
78,C6122,2024-09-27,Jeans,Fashion,60,1
79,C9565,2024-04-03,Chair,Furniture,200,2
80,C9614,2024-11-14,Watch,Accessories,150,5
81,C2463,2025-06-18,Backpack,Accessories,70,1
82,C7395,2025-09-01,Tshirt,Fashion,30,1
83,C5723,2024-12-17,Backpack,Accessories,70,2
84,C1983,2025-10-22,Backpack,Accessories,70,5
85,C5244,2025-10-04,Phone,Electronics,600,4
86,C1382,2024-09-17,Shoes,Fashion,80,1
87,C8903,2025-10-20,Headphones,Electronics,120,2
88,C6113,2025-04-30,Watch,Accessories,150,1
89,C3073,2024-06-18,Shoes,Fashion,80,3
90,C8049,2024-06-03,Jeans,Fashion,60,1
91,C8810,2024-11-28,Watch,Accessories,150,2
92,C3202,2025-09-24,Jeans,Fashion,60,2
93,C3015,2025-06-09,Jeans,Fashion,60,3
94,C1766,2025-11-11,Headphones,Electronics,120,1
95,C3395,2024-10-16,Laptop,Electronics,800,1
96,C7293,2024-04-01,Headphones,Electronics,120,4
97,C7811,2025-09-15,Chair,Furniture,200,1
98,C9431,2024-12-08,Watch,Accessories,150,1
99,C5767,2025-01-12,Headphones,Electronics,120,3
100,C1303,2026-03-01,Jeans,Fashion,60,1
101,C9674,2024-09-25,Backpack,Accessories,70,5
102,C5827,2024-10-28,Laptop,Electronics,800,5
103,C2714,2026-02-15,Phone,Electronics,600,4
104,C3630,2025-09-06,Desk,Furniture,350,1
105,C7968,2026-01-27,Desk,Furniture,350,3
106,C3052,2024-10-30,Laptop,Electronics,800,3
107,C4395,2025-11-04,Phone,Electronics,600,3
108,C3652,2024-12-28,Jeans,Fashion,60,3
109,C6027,2026-02-08,Phone,Electronics,600,3
110,C2428,2024-03-16,Headphones,Electronics,120,3
111,C4307,2024-12-26,Desk,Furniture,350,3
112,C5426,2025-01-10,Headphones,Electronics,120,2
113,C3774,2025-02-02,Headphones,Electronics,120,5
114,C4912,2024-04-27,Desk,Furniture,350,1
115,C7546,2026-02-02,Desk,Furniture,350,1
116,C7628,2024-07-10,Watch,Accessories,150,5
117,C9199,2025-08-28,Chair,Furniture,200,1
118,C2168,2025-10-23,Jeans,Fashion,60,4
119,C5506,2024-03-27,Tshirt,Fashion,30,3
120,C8338,2024-10-22,Backpack,Accessories,70,2
121,C8026,2025-09-23,Desk,Furniture,350,2
122,C8276,2024-09-23,Watch,Accessories,150,1
123,C6355,2026-02-05,Phone,Electronics,600,2
124,C3362,2025-10-08,Phone,Electronics,600,2
125,C8607,2024-06-29,Tshirt,Fashion,30,3
126,C8739,2025-10-21,Shoes,Fashion,80,1
127,C9750,2024-05-10,Phone,Electronics,600,3
128,C6437,2025-09-03,Headphones,Electronics,120,4
129,C3468,2024-08-15,Phone,Electronics,600,5
130,C3358,2024-08-18,Watch,Accessories,150,2
131,C8266,2024-08-03,Desk,Furniture,350,4
132,C1884,2024-07-28,Chair,Furniture,200,4
133,C6642,2024-05-30,Watch,Accessories,150,1
134,C7711,2024-03-19,Shoes,Fashion,80,3
135,C1569,2025-05-05,Laptop,Electronics,800,2
136,C5900,2024-09-08,Watch,Accessories,150,3
137,C2818,2025-07-04,Shoes,Fashion,80,5
138,C2085,2025-11-19,Jeans,Fashion,60,1
139,C3282,2025-02-18,Backpack,Accessories,70,1
140,C8624,2025-06-30,Watch,Accessories,150,2
141,C2314,2025-12-20,Laptop,Electronics,800,3
142,C2332,2024-09-30,Tshirt,Fashion,30,2
143,C2224,2025-01-18,Laptop,Electronics,800,3
144,C1471,2025-02-21,Phone,Electronics,600,5
145,C6628,2025-10-10,Chair,Furniture,200,5
146,C5788,2024-08-13,Laptop,Electronics,800,5
147,C8890,2024-06-20,Chair,Furniture,200,5
148,C7815,2026-02-13,Watch,Accessories,150,1
149,C6652,2025-04-20,Desk,Furniture,350,1
150,C3422,2024-06-30,Phone,Electronics,600,1
